lat,lng,postalCode,data_updated_at,data_count_grass_pollen,data_count_tree_pollen,data_count_weed_pollen
42.9808,-73.3522,12057,2023-02-19 02:00:00+00:00,0,31,0
43.2381,-73.4641,12809,2023-02-19 02:00:00+00:00,0,64,0
43.0466,-73.3814,12816,2023-02-19 02:00:00+00:00,0,38,0
43.6435,-73.4326,12819,2023-02-19 02:00:00+00:00,0,19,0
43.4614,-73.4033,12821,2023-02-19 02:00:00+00:00,0,24,0
43.1837,-73.4268,12823,2023-02-19 02:00:00+00:00,0,64,0
43.4285,-73.4784,12827,2023-02-19 02:00:00+00:00,0,52,0
43.2653,-73.5822,12828,2023-02-19 02:00:00+00:00,0,64,0
43.3776,-73.2978,12832,2023-02-19 02:00:00+00:00,0,117,0
43.0947,-73.503,12834,2023-02-19 02:00:00+00:00,0,68,0
43.5248,-73.2518,12837,2023-02-19 02:00:00+00:00,0,10,0
43.3493,-73.4049,12838,2023-02-19 02:00:00+00:00,0,69,0
43.6978,-73.5071,12874,2023-02-19 02:00:00+00:00,0,38,0
43.6617,-73.8971,12862,2023-02-19 02:00:00+00:00,0,274,0
43.7312,-73.8193,12860,2023-02-19 02:00:00+00:00,0,81,0
43.7237,-74.0873,12856,2023-02-19 02:00:00+00:00,0,69,0
43.3115,-73.6448,12801,2023-02-19 02:00:00+00:00,0,47,0
43.329,-73.6818,12804,2023-02-19 02:00:00+00:00,0,66,0
43.7165,-73.7825,12808,2023-02-19 02:00:00+00:00,0,96,0
43.4839,-73.8817,12810,2023-02-19 02:00:00+00:00,0,249,0
43.6148,-74.0249,12811,2023-02-19 02:00:00+00:00,0,74,0
43.5766,-73.6714,12814,2023-02-19 02:00:00+00:00,0,66,0
43.6989,-73.7205,12815,2023-02-19 02:00:00+00:00,0,26,0
43.3149,-73.5746,12839,2023-02-19 02:00:00+00:00,0,72,0
43.6451,-73.8066,12817,2023-02-19 02:00:00+00:00,0,90,0
43.5156,-73.7001,12824,2023-02-19 02:00:00+00:00,0,91,0
43.7463,-73.5282,12836,2023-02-19 02:00:00+00:00,0,58,0
43.586,-73.9165,12843,2023-02-19 02:00:00+00:00,0,158,0
43.4754,-73.6272,12844,2023-02-19 02:00:00+00:00,0,52,0
43.4167,-73.6975,12845,2023-02-19 02:00:00+00:00,0,63,0
43.3165,-73.8228,12846,2023-02-19 02:00:00+00:00,0,38,0
43.6978,-73.986,12853,2023-02-19 02:00:00+00:00,0,63,0
43.4718,-73.6393,12820,2023-02-19 02:00:00+00:00,0,71,0
43.6392,-73.5071,12841,2023-02-19 02:00:00+00:00,0,16,0
43.1001,-73.5246,12848,2023-02-19 02:00:00+00:00,0,64,0
43.4508,-73.3031,12849,2023-02-19 02:00:00+00:00,0,115,0
43.1448,-76.8608,14542,2023-02-19 02:00:00+00:00,0,41,0
43.2217,-77.0514,14551,2023-02-19 02:00:00+00:00,0,90,0
43.2546,-76.9835,14555,2023-02-19 02:00:00+00:00,0,176,0
43.2228,-77.3717,14563,2023-02-19 02:00:00+00:00,0,90,0
43.1402,-77.2858,14568,2023-02-19 02:00:00+00:00,0,86,0
43.2421,-77.17,14589,2023-02-19 02:00:00+00:00,0,96,0
43.2341,-76.8217,14590,2023-02-19 02:00:00+00:00,0,27,0
43.2836,-77.142,14538,2023-02-19 02:00:00+00:00,0,116,0
41.2946,-73.7611,10501,2023-02-19 02:00:00+00:00,0,77,0
41.0259,-73.8718,10503,2023-02-19 02:00:00+00:00,0,61,0
41.136,-73.7009,10504,2023-02-19 02:00:00+00:00,0,72,0
41.3421,-73.7454,10505,2023-02-19 02:00:00+00:00,0,81,0
41.1909,-73.6355,10506,2023-02-19 02:00:00+00:00,0,65,0
41.2344,-73.6915,10507,2023-02-19 02:00:00+00:00,0,87,0
41.1444,-73.835,10510,2023-02-19 02:00:00+00:00,0,91,0
